Genome	1547B_2H_3_S9_paired_1.fastq.gz TPM
MAG_155	2618.1353
MAG_193	17942.14
MAG_249	159.75792
MAG_121	808.98706
280	6584.7505
MAG_199	10315.534
MAG_51	1090.2963
MAG_18	1141.6731
2	1856.5278
maxbin2.0181_sub	8338.544
MAG_284	1241.7695
MAG_278	3535.1958
284_sub	4719.4395
MAG_162	7775.7285
44_sub	9546.354
102_sub	15331.534
MAG_53	211.73631
MAG_229	1194.7449
MAG_289	5203.232
MAG_222_sub	8709.37
MAG_315	9577.489
4_sub	37432.94
MAG_128	5028.445
MAG_172	2556.5986
27	390.97458
MAG_33	31655.658
58	4556
142_sub	31817.033
MAG_294	9759.112
MAG_74	11036.993
145	336.9531
MAG_114	1931.0304
MAG_130	4655.2393
67	985.3906
MAG_37	9.121349
MAG_148	310.14688
MAG_305	134.36182
MAG_313	9380.361
maxbin2.0025_sub	8998.815
107_sub	1528.9415
MAG_200	3424.0217
MAG_319	11947.198
158_sub	3073.6992
MAG_13	979.47675
MAG_45	64.99718
76	2799.903
MAG_307	5.368515
MAG_236	16820.1
245_sub	9344.41
MAG_149_sub	4861.1543
119_sub	1857.192
MAG_334	10953.238
MAG_119	38.139206
275_sub	142.4967
MAG_140	671.0107
288_sub	4995.5024
112_sub	514.48615
MAG_164	17223.469
MAG_326	9638.357
MAG_92	3532.5603
MAG_144	2203.4402
117_sub	123.536156
MAG_292	288.3134
MAG_217_sub	1878.6046
52_sub	4323.134
MAG_306	11458.312
81_sub	31.13829
MAG_234	23951.215
MAG_332_sub	654.1856
163	771.83484
MAG_24	5635.8384
243_sub	764.4642
MAG_269_sub	11517.423
MAG_346	27454.992
MAG_214	19037.084
287_sub	18120.875
MAG_216	1624.179
MAG_300_sub	6314.6094
45_sub	53111.508
MAG_244	31.889572
MAG_273_sub	86.26854
MAG_126	138.38045
MAG_280_sub	482.20773
MAG_226	4785.766
MAG_29	1100.1373
123_sub	4187.3887
170_sub	1191.6434
MAG_63	5206.312
MAG_263	7942.052
259_sub	5396.849
MAG_202	16.442827
MAG_321	5231.808
169_sub	2570.8516
MAG_42_sub	1822.5347
223_sub	7741.36
MAG_133	5378.0215
31_sub	1428.7855
26_sub	7746.3853
73_sub	779.23047
MAG_80_sub	1560.2262
270_sub	1276.7872
MAG_224	41086.613
103_sub	3668.0708
184_sub	261.92715
MAG_247	3231.3796
MAG_12	5988.024
MAG_39	726.5537
53_sub	5760.5625
244_sub	1088.1077
174	4767.092
MAG_171	8606.819
138_sub	822.1779
MAG_316	8233.891
190	1341.8972
MAG_117	2310.3176
MAG_108	3258.709
131_sub	5095.0234
MAG_58	35365
97_sub	4254.641
MAG_134	125.00917
273_sub	378.9356
MAG_56_sub	9368.176
MAG_206	1134.4469
MAG_153_sub	216.09393
MAG_116	10707.255
MAG_95	104.99326
MAG_235	1773.6058
MAG_330	21.260487
MAG_341	859.87305
16_sub	7606.8438
MAG_94	25718.295
MAG_210	15676.031
MAG_46	578.505
MAG_314	15461.044
MAG_142	31905.063
MAG_141	68763.97
MAG_277	12046.587
238_sub	1064.2731
MAG_328	16323.017
289	1057.0367
127_sub	2955.856
MAG_327_sub	1627.1696
