Genome	1547B-8H2_S4_L004_paired_1.fastq.gz TPM
MAG_155	0.70641494
MAG_193	1.1847024
MAG_249	0.6888653
MAG_121	0.6921606
280	0.6348298
MAG_199	0.26272756
MAG_51	395.03003
MAG_18	0
2	11.704608
maxbin2.0181_sub	405.12665
MAG_284	0.1435284
MAG_278	7.47284
284_sub	1.3310659
MAG_162	0.38055673
44_sub	27.70543
102_sub	0.24814506
MAG_53	11.107105
MAG_229	4.7248387
MAG_289	1.1105785
MAG_222_sub	0.30724752
MAG_315	0.52450764
4_sub	105.74773
MAG_128	1.2487248
MAG_172	0.45962605
27	1.1056275
MAG_33	11.570806
58	0.61212766
142_sub	0.25700888
MAG_294	13.715104
MAG_74	1.6540645
145	262.1898
MAG_114	0.9012955
MAG_130	0.7542451
67	32.173943
MAG_37	11.631091
MAG_148	99.27119
MAG_305	48.93819
MAG_313	677.9618
maxbin2.0025_sub	681.4424
107_sub	685.1587
MAG_200	2.5065827
MAG_319	1.6251223
158_sub	647.8043
MAG_13	0.6441969
MAG_45	121.39355
76	0.87820154
MAG_307	1.2286174
MAG_236	5.169822
245_sub	0.6160638
MAG_149_sub	4.234615
119_sub	1.7815129
MAG_334	4.658823
MAG_119	1.9043759
275_sub	70.212456
MAG_140	7306.8438
288_sub	0.55158174
112_sub	196.70116
MAG_164	3.3861156
MAG_326	0.3767
MAG_92	0
MAG_144	0.87048686
117_sub	596.1858
MAG_292	16.932386
MAG_217_sub	75.91639
52_sub	5.4972305
MAG_306	139.84004
81_sub	476.60464
MAG_234	0.6357058
MAG_332_sub	0.34943205
163	0.8636699
MAG_24	0
243_sub	1.2498806
MAG_269_sub	12.227875
MAG_346	333.72836
MAG_214	0.7308038
287_sub	275.71887
MAG_216	1.6618612
MAG_300_sub	0
45_sub	242.33267
MAG_244	11.290552
MAG_273_sub	1.1256744
MAG_126	8.426398
MAG_280_sub	1.0644425
MAG_226	3.6707177
MAG_29	5466.827
123_sub	6.1305103
170_sub	0.47838375
MAG_63	4.5424204
MAG_263	1.9584239
259_sub	2.046512
MAG_202	32283.38
MAG_321	8.065546
169_sub	0.5398161
MAG_42_sub	0.35076758
223_sub	0.15920483
MAG_133	3.157923
31_sub	0.3694964
26_sub	0.35287902
73_sub	0.78067154
MAG_80_sub	4.701035
270_sub	0.43146178
MAG_224	5.110294
103_sub	10.324396
184_sub	2.4657998
MAG_247	0.7609404
MAG_12	2.6995592
MAG_39	1.051914
53_sub	0.3603939
244_sub	765.99347
174	0.20406309
MAG_171	2.3893332
138_sub	1.857368
MAG_316	0.9205088
190	3.203474
MAG_117	0.48126474
MAG_108	1.927131
131_sub	0.5952679
MAG_58	0.25685868
97_sub	0.32625395
MAG_134	975.05493
273_sub	21528.473
MAG_56_sub	0.114049934
MAG_206	1.2320918
MAG_153_sub	13.449778
MAG_116	84.31104
MAG_95	5.748409
MAG_235	0.22940628
MAG_330	898105.44
MAG_341	11.283447
16_sub	0.69563085
MAG_94	0.41222742
MAG_210	69.33472
MAG_46	26355.99
MAG_314	4.2304735
MAG_142	0.67179847
MAG_141	1.0562173
MAG_277	0.19747883
238_sub	24.232214
MAG_328	4.270022
289	49.872482
127_sub	0.8314272
MAG_327_sub	90.36641
