Genome	1545B_32F_3_S7_paired_1.fastq.gz TPM
MAG_155	15.074691
MAG_193	99.81381
MAG_249	1.3611286
MAG_121	10.394054
280	0.9031385
MAG_199	5.398879
MAG_51	1.3314112
MAG_18	80.01639
2	12.819031
maxbin2.0181_sub	1119.1678
MAG_284	1.7015859
MAG_278	5.4519024
284_sub	16.481651
MAG_162	7.7600307
44_sub	109.79153
102_sub	14.317022
MAG_53	38.982933
MAG_229	4.464948
MAG_289	22.273066
MAG_222_sub	9.956268
MAG_315	19.345638
4_sub	21.082163
MAG_128	16.202301
MAG_172	41.231117
27	6.990741
MAG_33	19.753403
58	9.192215
142_sub	66.96493
MAG_294	204.19948
MAG_74	36.93136
145	63.192326
MAG_114	39.53528
MAG_130	70.81957
67	9.262208
MAG_37	10868.72
MAG_148	6.725136
MAG_305	1.6409171
MAG_313	10.289836
maxbin2.0025_sub	934.8394
107_sub	3.9234254
MAG_200	63.98955
MAG_319	172.11365
158_sub	13.2120695
MAG_13	5.430901
MAG_45	162053.06
76	2.993282
MAG_307	13826.411
MAG_236	62.558342
245_sub	42.84824
MAG_149_sub	3.5947828
119_sub	7.978866
MAG_334	101.52197
MAG_119	6.7731323
275_sub	3.062326
MAG_140	1.7433189
288_sub	7.629085
112_sub	37.176315
MAG_164	0.8920822
MAG_326	52.99565
MAG_92	0.9873254
MAG_144	33.482544
117_sub	775747.9
MAG_292	208.71265
MAG_217_sub	7.6302133
52_sub	4.344787
MAG_306	13.339092
81_sub	10.424412
MAG_234	46.65477
MAG_332_sub	72.08219
163	1.3652184
MAG_24	2.8361998
243_sub	1.1524975
MAG_269_sub	21.655449
MAG_346	50.11908
MAG_214	96.02553
287_sub	21.979132
MAG_216	15.323785
MAG_300_sub	14.721513
45_sub	149.74443
MAG_244	11.223487
MAG_273_sub	1.0873959
MAG_126	1.1099803
MAG_280_sub	16.264969
MAG_226	2.538537
MAG_29	7359.0093
123_sub	2.07656
170_sub	20.606174
MAG_63	12.266325
MAG_263	15.404872
259_sub	57.339684
MAG_202	53.666286
MAG_321	2.8975801
169_sub	28.016592
MAG_42_sub	5.2674155
223_sub	3.0198965
MAG_133	126.239555
31_sub	67.02199
26_sub	16.943243
73_sub	10.386355
MAG_80_sub	10.774968
270_sub	17.3915
MAG_224	84.369606
103_sub	23.31425
184_sub	30.792103
MAG_247	34.481213
MAG_12	55.740868
MAG_39	10.641791
53_sub	294.696
244_sub	83.56108
174	25.402094
MAG_171	3378.2861
138_sub	62.983673
MAG_316	10.731108
190	20.82485
MAG_117	55.724552
MAG_108	33.06656
131_sub	21.524252
MAG_58	106.37759
97_sub	9.196932
MAG_134	12.629103
273_sub	44.49987
MAG_56_sub	6.3098288
MAG_206	3.1648333
MAG_153_sub	31.890457
MAG_116	23.769958
MAG_95	2.2716532
MAG_235	10.3348675
MAG_330	1131.4503
MAG_341	18053.723
16_sub	4.3983884
MAG_94	462.97284
MAG_210	161.7924
MAG_46	4.7892447
MAG_314	285.54285
MAG_142	24.557005
MAG_141	180.593
MAG_277	189.6362
238_sub	30.618664
MAG_328	28.419817
289	77.67068
127_sub	15.973225
MAG_327_sub	15.919344
