Genome	1545B_13H_4_S5_paired_1.fastq.gz TPM
MAG_155	9.735932
MAG_193	674.2797
MAG_249	97575.47
MAG_121	49.99997
280	8.326949
MAG_199	7.6789184
MAG_51	1263.9213
MAG_18	11.89638
2	194.53137
maxbin2.0181_sub	17024.043
MAG_284	42.3593
MAG_278	364.706
284_sub	6.3258495
MAG_162	52.087227
44_sub	28.32725
102_sub	14.741265
MAG_53	1788.3774
MAG_229	39.832592
MAG_289	18.01115
MAG_222_sub	2.628332
MAG_315	60.572765
4_sub	454.26068
MAG_128	7.714885
MAG_172	3.2765381
27	17.902697
MAG_33	10175.655
58	2.6182048
142_sub	20.519964
MAG_294	1979.2004
MAG_74	88.43503
145	60690.92
MAG_114	3.212536
MAG_130	15.055023
67	27044.148
MAG_37	1309.3523
MAG_148	238.58748
MAG_305	91.33942
MAG_313	1937.5496
maxbin2.0025_sub	24309.05
107_sub	238.5447
MAG_200	36.094738
MAG_319	2985.458
158_sub	3168.178
MAG_13	4.592289
MAG_45	8806.036
76	30.910913
MAG_307	353.3635
MAG_236	475.79965
245_sub	16.16159
MAG_149_sub	2.0124867
119_sub	8539.112
MAG_334	970.95807
MAG_119	11.31311
275_sub	3069.181
MAG_140	394.14795
288_sub	79.034485
112_sub	116578.38
MAG_164	123.10689
MAG_326	1563.6978
MAG_92	4.7494693
MAG_144	24.987246
117_sub	55141.24
MAG_292	77687.62
MAG_217_sub	1881.5316
52_sub	8.641482
MAG_306	31884.621
81_sub	60037.887
MAG_234	5.3086324
MAG_332_sub	5.4801974
163	5.4532022
MAG_24	105.906685
243_sub	3.564013
MAG_269_sub	423.57584
MAG_346	6273.962
MAG_214	12.503236
287_sub	144780.63
MAG_216	394.89703
MAG_300_sub	69.38922
45_sub	32818.72
MAG_244	13.442161
MAG_273_sub	1726.7157
MAG_126	1596.5901
MAG_280_sub	89.03365
MAG_226	16.35467
MAG_29	36773.316
123_sub	4413.964
170_sub	17.392296
MAG_63	392.89597
MAG_263	183.08879
259_sub	74.25793
MAG_202	252.35815
MAG_321	1094.5308
169_sub	4.87437
MAG_42_sub	13.836204
223_sub	22.925474
MAG_133	209.00504
31_sub	3.951046
26_sub	26.287695
73_sub	66.04013
MAG_80_sub	417.56284
270_sub	38.754627
MAG_224	6231.113
103_sub	842.5394
184_sub	4.2187095
MAG_247	18.805002
MAG_12	39.162273
MAG_39	1.1998051
53_sub	5.9604077
244_sub	3191.0476
174	5.3824077
MAG_171	244.84712
138_sub	64.3116
MAG_316	10.827358
190	144.8983
MAG_117	9.777766
MAG_108	43.961426
131_sub	4.4556623
MAG_58	34.42411
97_sub	5.271737
MAG_134	34.89981
273_sub	713.42053
MAG_56_sub	9.268525
MAG_206	105.17906
MAG_153_sub	4982.932
MAG_116	9006.272
MAG_95	109.00333
MAG_235	36.305225
MAG_330	2430.9177
MAG_341	73830.19
16_sub	13.176636
MAG_94	61.71158
MAG_210	1048.4623
MAG_46	186.17894
MAG_314	48.976242
MAG_142	15.803882
MAG_141	55.383358
MAG_277	19.70875
238_sub	81.50848
MAG_328	8029.6787
289	184.97847
127_sub	43.76862
MAG_327_sub	33959.57
