Genome	1548B-2H3_S5_L004_paired_1.fastq.gz TPM
MAG_155	2095.523
MAG_193	17127.172
MAG_249	195.97803
MAG_121	1726.9619
280	3178.9343
MAG_199	4850.288
MAG_51	829.0437
MAG_18	83.38913
2	1910.3269
maxbin2.0181_sub	8703.214
MAG_284	1194.6229
MAG_278	4779.392
284_sub	4440.6265
MAG_162	7895.991
44_sub	9150.748
102_sub	20160.912
MAG_53	185.17563
MAG_229	989.39685
MAG_289	2373.134
MAG_222_sub	7374.209
MAG_315	14885.128
4_sub	15194.903
MAG_128	9184.99
MAG_172	1537.7344
27	397.27017
MAG_33	16539.354
58	3945.5151
142_sub	38931.016
MAG_294	8717.864
MAG_74	8196.27
145	350.13745
MAG_114	2131.1746
MAG_130	948.5446
67	983.4177
MAG_37	4.701434
MAG_148	329.8878
MAG_305	65.160034
MAG_313	1626.3473
maxbin2.0025_sub	8566.498
107_sub	1142.4033
MAG_200	3255.0283
MAG_319	10492.449
158_sub	5601.157
MAG_13	1049.9086
MAG_45	59.457237
76	2016.7003
MAG_307	5.856154
MAG_236	22711.459
245_sub	38836.594
MAG_149_sub	1483.0645
119_sub	2560.2048
MAG_334	9437.951
MAG_119	52.971294
275_sub	87.00836
MAG_140	497.88702
288_sub	7222.5737
112_sub	596.75006
MAG_164	30075.969
MAG_326	9006.357
MAG_92	8262.212
MAG_144	1447.7274
117_sub	106.713295
MAG_292	194.3439
MAG_217_sub	1734.1311
52_sub	2181.3145
MAG_306	12941.325
81_sub	24.693686
MAG_234	12636.844
MAG_332_sub	436.52402
163	934.90985
MAG_24	948.9585
243_sub	274.74478
MAG_269_sub	10678.823
MAG_346	20013.838
MAG_214	12520.294
287_sub	26000.752
MAG_216	502.34528
MAG_300_sub	4866.142
45_sub	49495.855
MAG_244	11.088277
MAG_273_sub	93.19486
MAG_126	72.85631
MAG_280_sub	551.15515
MAG_226	3306.3774
MAG_29	402.38492
123_sub	4682.7144
170_sub	919.5622
MAG_63	3154.5537
MAG_263	6237.0376
259_sub	3380.2793
MAG_202	3658.9658
MAG_321	4841.251
169_sub	1220.2242
MAG_42_sub	2043.3145
223_sub	8138.9565
MAG_133	3973.266
31_sub	2662.4368
26_sub	7299.492
73_sub	767.99365
MAG_80_sub	15420.292
270_sub	1111.6648
MAG_224	17645.771
103_sub	2507.097
184_sub	144.21603
MAG_247	2377.895
MAG_12	2469.339
MAG_39	1285.6084
53_sub	9120.5205
244_sub	854.98035
174	3377.9478
MAG_171	5626.8022
138_sub	687.5652
MAG_316	5916.842
190	573.2577
MAG_117	1630.1207
MAG_108	4324.678
131_sub	5054.682
MAG_58	20323.04
97_sub	1890.7179
MAG_134	129.04579
273_sub	200.27759
MAG_56_sub	24069.639
MAG_206	1412.7815
MAG_153_sub	856.4014
MAG_116	11730.865
MAG_95	39.05404
MAG_235	1087.6046
MAG_330	53083.92
MAG_341	7.5260797
16_sub	7764.1323
MAG_94	19532.852
MAG_210	15651.33
MAG_46	237.94714
MAG_314	24908.008
MAG_142	40465.31
MAG_141	66727.41
MAG_277	12699.002
238_sub	229.32964
MAG_328	12292.764
289	798.41724
127_sub	764.64215
MAG_327_sub	1376.3584
