Genome	1545B_1H_2_S1_paired_1.fastq.gz TPM
MAG_155	7863.6177
MAG_193	5020.428
MAG_249	96.75671
MAG_121	1043.7638
280	35.08586
MAG_199	1354.9231
MAG_51	321.00403
MAG_18	1702.1102
2	9035.074
maxbin2.0181_sub	10168.525
MAG_284	533.4775
MAG_278	6950.4834
284_sub	5152.028
MAG_162	1802.82
44_sub	13705.351
102_sub	10102.122
MAG_53	65.114624
MAG_229	907.7259
MAG_289	25472.557
MAG_222_sub	367.1721
MAG_315	2472.6677
4_sub	7198.4717
MAG_128	8331.668
MAG_172	12515.453
27	381.55124
MAG_33	2770.1665
58	2471.6174
142_sub	17150.963
MAG_294	24179.756
MAG_74	23503.586
145	336.50928
MAG_114	8415.421
MAG_130	10477.481
67	1363.3534
MAG_37	11.4270735
MAG_148	304.95178
MAG_305	23.068579
MAG_313	278.55872
maxbin2.0025_sub	9327.552
107_sub	718.1018
MAG_200	6926.252
MAG_319	18012.578
158_sub	1564.7897
MAG_13	6182.6836
MAG_45	74.24263
76	865.36176
MAG_307	10.42466
MAG_236	287.42307
245_sub	4878.663
MAG_149_sub	343.2807
119_sub	77.5226
MAG_334	27722.229
MAG_119	38.336563
275_sub	65.428665
MAG_140	119.75373
288_sub	2448.636
112_sub	216.61903
MAG_164	862.393
MAG_326	743.1602
MAG_92	1127.0698
MAG_144	7744.365
117_sub	92.31392
MAG_292	47.140526
MAG_217_sub	855.27795
52_sub	508.6913
MAG_306	1473.731
81_sub	51.540962
MAG_234	6260.3525
MAG_332_sub	13031.871
163	302.11612
MAG_24	6344.576
243_sub	98.7382
MAG_269_sub	2539.89
MAG_346	20785.734
MAG_214	27412.152
287_sub	3356.1448
MAG_216	11674.632
MAG_300_sub	1177.6711
45_sub	22590.12
MAG_244	18.958384
MAG_273_sub	158.62492
MAG_126	19.918661
MAG_280_sub	781.1505
MAG_226	5754.531
MAG_29	457.99118
123_sub	1615.5758
170_sub	341.87357
MAG_63	825.75323
MAG_263	1959.1141
259_sub	2523.372
MAG_202	14.551598
MAG_321	5741.8457
169_sub	3287.0796
MAG_42_sub	8608.708
223_sub	877.2742
MAG_133	35823.277
31_sub	15453.651
26_sub	9956.364
73_sub	500.51614
MAG_80_sub	878.8199
270_sub	11778.553
MAG_224	20120.754
103_sub	17307.262
184_sub	92.056854
MAG_247	5661.75
MAG_12	18411.1
MAG_39	5039.4697
53_sub	12448.679
244_sub	317.71594
174	10479.564
MAG_171	2236.3376
138_sub	590.96094
MAG_316	19451.209
190	916.46906
MAG_117	6513.584
MAG_108	3395.6138
131_sub	1269.6768
MAG_58	27932.969
97_sub	6642.7813
MAG_134	81.50599
273_sub	54.66394
MAG_56_sub	2529.4727
MAG_206	4453.545
MAG_153_sub	2115.4265
MAG_116	5866.311
MAG_95	56.80796
MAG_235	16024.493
MAG_330	29.56135
MAG_341	377.02045
16_sub	1089.0072
MAG_94	145619.2
MAG_210	13128.997
MAG_46	79.84412
MAG_314	10208.076
MAG_142	9824.457
MAG_141	38982.3
MAG_277	21426.705
238_sub	5515.0664
MAG_328	14772.187
289	7647.501
127_sub	175.0977
MAG_327_sub	891.39264
