Genome	1545B_2H_3_S2_paired_1.fastq.gz TPM
MAG_155	3959.6829
MAG_193	17609.467
MAG_249	65.42417
MAG_121	566.7471
280	204.72067
MAG_199	5356.035
MAG_51	372.1021
MAG_18	6050.92
2	4527.869
maxbin2.0181_sub	8711.8955
MAG_284	700.94
MAG_278	8228.16
284_sub	5122.251
MAG_162	1946.419
44_sub	11076.746
102_sub	4868.863
MAG_53	90.934044
MAG_229	1096.106
MAG_289	7672.781
MAG_222_sub	2696.2212
MAG_315	3675.3015
4_sub	6751.358
MAG_128	10594.776
MAG_172	12223.871
27	533.1057
MAG_33	5924.442
58	5423.2285
142_sub	15056.481
MAG_294	24404.38
MAG_74	13816.354
145	341.76437
MAG_114	4035.182
MAG_130	16553.643
67	1595.2203
MAG_37	25.88651
MAG_148	294.97296
MAG_305	37.473362
MAG_313	701.23285
maxbin2.0025_sub	7588.961
107_sub	971.0405
MAG_200	4967.8003
MAG_319	19673.63
158_sub	1935.8817
MAG_13	2172.2778
MAG_45	112.21887
76	1306.6654
MAG_307	8.255895
MAG_236	9847.231
245_sub	7288.9116
MAG_149_sub	345.0893
119_sub	69.0739
MAG_334	25497.723
MAG_119	26.734306
275_sub	70.03477
MAG_140	158.61584
288_sub	1568.2571
112_sub	312.00818
MAG_164	1548.2992
MAG_326	9280.232
MAG_92	2453.0137
MAG_144	9452.76
117_sub	306.37665
MAG_292	83.60373
MAG_217_sub	1166.6964
52_sub	564.07153
MAG_306	7033.2686
81_sub	43.07764
MAG_234	5875.9663
MAG_332_sub	3346.3203
163	198.51672
MAG_24	3630.817
243_sub	83.07631
MAG_269_sub	5623.498
MAG_346	34977.395
MAG_214	15954.865
287_sub	5600.762
MAG_216	9943.26
MAG_300_sub	2723.631
45_sub	30677.523
MAG_244	20.808868
MAG_273_sub	150.93127
MAG_126	40.4368
MAG_280_sub	729.7686
MAG_226	4127.4673
MAG_29	746.4364
123_sub	3506.2246
170_sub	1051.765
MAG_63	1039.811
MAG_263	3988.3381
259_sub	10423.424
MAG_202	15.511914
MAG_321	5209.284
169_sub	3158.3796
MAG_42_sub	2922.9658
223_sub	1371.9106
MAG_133	33334.18
31_sub	3688.3633
26_sub	11302.6455
73_sub	1140.444
MAG_80_sub	930.9311
270_sub	6571.495
MAG_224	19238.084
103_sub	8697.949
184_sub	243.29968
MAG_247	8081.967
MAG_12	23611.902
MAG_39	1725.045
53_sub	42933.35
244_sub	492.6563
174	3810.358
MAG_171	6453.4746
138_sub	715.1835
MAG_316	11924.91
190	340.3151
MAG_117	4103.5493
MAG_108	4934.22
131_sub	2988.1643
MAG_58	31307.988
97_sub	4801.595
MAG_134	126.81815
273_sub	123.82041
MAG_56_sub	1995.9851
MAG_206	2063.4077
MAG_153_sub	1089.7542
MAG_116	7265.6343
MAG_95	85.96828
MAG_235	3847.2373
MAG_330	31.934767
MAG_341	556.8548
16_sub	1508.5593
MAG_94	87828.92
MAG_210	11623.834
MAG_46	123.17288
MAG_314	54773.27
MAG_142	7215.256
MAG_141	56103.65
MAG_277	22055.238
238_sub	7067.4253
MAG_328	11499.231
289	2523.496
127_sub	128.29897
MAG_327_sub	1086.1985
