Genome	1546B-3H2_S2_L004_paired_1.fastq.gz TPM
MAG_155	339.82782
MAG_193	747.55597
MAG_249	37.071167
MAG_121	2948.519
280	4027.8691
MAG_199	18.885878
MAG_51	467.9951
MAG_18	8.740252
2	8000.9985
maxbin2.0181_sub	6066.0176
MAG_284	6157.7373
MAG_278	4470.835
284_sub	14568.109
MAG_162	425.19775
44_sub	15730.563
102_sub	196.2466
MAG_53	113.88077
MAG_229	1190.7175
MAG_289	546.50574
MAG_222_sub	1585.6178
MAG_315	7105.46
4_sub	358.89682
MAG_128	2183.097
MAG_172	885.39294
27	8689.534
MAG_33	33942.887
58	2994.8716
142_sub	5634.5835
MAG_294	3065.2905
MAG_74	3042.5808
145	458.3943
MAG_114	338.45905
MAG_130	70.27616
67	694.68256
MAG_37	3.751221
MAG_148	324.212
MAG_305	43.805912
MAG_313	38649.95
maxbin2.0025_sub	6915.5596
107_sub	749.93024
MAG_200	4550.0645
MAG_319	117441.336
158_sub	4068.221
MAG_13	2051.0225
MAG_45	82.54725
76	1975.4854
MAG_307	7.7217827
MAG_236	26061.393
245_sub	9002.025
MAG_149_sub	64.317795
119_sub	56.21669
MAG_334	1083.3748
MAG_119	27.678043
275_sub	118.02222
MAG_140	179.06207
288_sub	752.26465
112_sub	868.6518
MAG_164	7662.233
MAG_326	24754.06
MAG_92	64.11826
MAG_144	852.8308
117_sub	72.99234
MAG_292	244.53722
MAG_217_sub	2414.0332
52_sub	54.150063
MAG_306	19777.768
81_sub	46.44554
MAG_234	283.5286
MAG_332_sub	303.43597
163	113.505615
MAG_24	2178.9473
243_sub	5073.4595
MAG_269_sub	697.53314
MAG_346	42247.066
MAG_214	38956.566
287_sub	39735.145
MAG_216	2126.8
MAG_300_sub	2501.3318
45_sub	57038.4
MAG_244	6.1267405
MAG_273_sub	55.12442
MAG_126	86.74853
MAG_280_sub	670.8072
MAG_226	3641.131
MAG_29	416.72662
123_sub	912.3326
170_sub	4401.865
MAG_63	8421.899
MAG_263	11498.843
259_sub	4047.8142
MAG_202	3575.0242
MAG_321	4043.2173
169_sub	422.95786
MAG_42_sub	159.27887
223_sub	188.36151
MAG_133	830.7156
31_sub	11042.357
26_sub	8890.274
73_sub	2592.8662
MAG_80_sub	945.6466
270_sub	1125.4727
MAG_224	18432.094
103_sub	3074.0774
184_sub	1072.0322
MAG_247	1556.8907
MAG_12	12730.808
MAG_39	2182.5266
53_sub	302.78098
244_sub	591.3514
174	309.96976
MAG_171	3347.5747
138_sub	679.6303
MAG_316	1532.3916
190	1234.1287
MAG_117	427.4306
MAG_108	18090.035
131_sub	4765.383
MAG_58	21198.111
97_sub	118.92814
MAG_134	94.283516
273_sub	227.39421
MAG_56_sub	639.6515
MAG_206	13566.331
MAG_153_sub	392.49918
MAG_116	8689.418
MAG_95	283.15622
MAG_235	7398.6206
MAG_330	56529.53
MAG_341	3.7173605
16_sub	64.01855
MAG_94	12606.084
MAG_210	20461.178
MAG_46	137.69774
MAG_314	301.7766
MAG_142	1888.7805
MAG_141	69487.984
MAG_277	8611.977
238_sub	251.55055
MAG_328	30809.732
289	2377.2976
127_sub	4129.1743
MAG_327_sub	2037.853
