Genome	1547B_1H_3_S8_paired_1.fastq.gz TPM
MAG_155	8332.165
MAG_193	16242.038
MAG_249	73.74514
MAG_121	933.4114
280	38.544716
MAG_199	1601.9082
MAG_51	653.7235
MAG_18	13216.545
2	2242.0647
maxbin2.0181_sub	9414.466
MAG_284	377.93665
MAG_278	5411.6406
284_sub	3547.4753
MAG_162	2572.8037
44_sub	9001.373
102_sub	16177.474
MAG_53	110.69306
MAG_229	1050.3473
MAG_289	11921.459
MAG_222_sub	3107.5327
MAG_315	7794.5234
4_sub	20534.797
MAG_128	8642.958
MAG_172	12292.634
27	139.05487
MAG_33	4305.458
58	5022.0137
142_sub	17432.367
MAG_294	23218.238
MAG_74	15910.976
145	260.74802
MAG_114	8381.349
MAG_130	13224.689
67	857.022
MAG_37	7.433689
MAG_148	219.79666
MAG_305	49.75965
MAG_313	1123.3146
maxbin2.0025_sub	8033.9688
107_sub	899.88403
MAG_200	3652.1853
MAG_319	14657.969
158_sub	1480.0205
MAG_13	3885.9534
MAG_45	53.644184
76	731.7659
MAG_307	5.353887
MAG_236	393.07962
245_sub	5761.2026
MAG_149_sub	513.2201
119_sub	64.837204
MAG_334	36231.535
MAG_119	36.513874
275_sub	65.66064
MAG_140	207.93524
288_sub	2721.0764
112_sub	228.81256
MAG_164	1210.1154
MAG_326	1108.687
MAG_92	2145.0288
MAG_144	8204.27
117_sub	94.87512
MAG_292	70.80263
MAG_217_sub	967.1247
52_sub	1904.8938
MAG_306	2211.2563
81_sub	35.70213
MAG_234	29470.791
MAG_332_sub	6172.0913
163	170.32841
MAG_24	4187.906
243_sub	17.973608
MAG_269_sub	7199.299
MAG_346	22097.002
MAG_214	25855.973
287_sub	4503.9624
MAG_216	7587.1626
MAG_300_sub	2480.748
45_sub	25490.139
MAG_244	24.54942
MAG_273_sub	129.89949
MAG_126	34.781326
MAG_280_sub	708.65485
MAG_226	8543.242
MAG_29	491.1261
123_sub	3807.5974
170_sub	243.83208
MAG_63	787.4821
MAG_263	7372.644
259_sub	2164.6924
MAG_202	11.936566
MAG_321	7662.0063
169_sub	2864.1436
MAG_42_sub	5714.431
223_sub	1586.303
MAG_133	20813.955
31_sub	5228.4336
26_sub	9182.561
73_sub	798.7268
MAG_80_sub	841.2692
270_sub	3726.3923
MAG_224	25542.738
103_sub	16559.217
184_sub	110.31631
MAG_247	9874.196
MAG_12	20988.643
MAG_39	4904.439
53_sub	21207.924
244_sub	625.27954
174	17433.076
MAG_171	3370.5417
138_sub	701.22784
MAG_316	15003.568
190	567.1329
MAG_117	8933.096
MAG_108	3595.6848
131_sub	1691.0957
MAG_58	50439.418
97_sub	6664.867
MAG_134	106.47076
273_sub	179.50113
MAG_56_sub	1986.3026
MAG_206	3960.908
MAG_153_sub	804.0687
MAG_116	5752.956
MAG_95	34.902374
MAG_235	3723.38
MAG_330	22.09253
MAG_341	346.61725
16_sub	1377.2854
MAG_94	66604.93
MAG_210	11493.157
MAG_46	219.29813
MAG_314	36280.516
MAG_142	7759.099
MAG_141	52266.99
MAG_277	19222.88
238_sub	6476.3667
MAG_328	7537.2495
289	3670.8704
127_sub	115.06503
MAG_327_sub	852.84546
