Genome	1547B_9H_3_S13_paired_1.fastq.gz TPM
MAG_155	16.648554
MAG_193	25.863338
MAG_249	4.6995916
MAG_121	2.2894874
280	1.2599118
MAG_199	1.6294397
MAG_51	51.71605
MAG_18	4.1399693
2	3.3184981
maxbin2.0181_sub	812.6674
MAG_284	16.379051
MAG_278	1.4260519
284_sub	11.007056
MAG_162	2.265809
44_sub	11.090201
102_sub	49.86354
MAG_53	44688.84
MAG_229	133.01257
MAG_289	12.053705
MAG_222_sub	19.055542
MAG_315	22.554169
4_sub	662.5187
MAG_128	20.652308
MAG_172	17.673769
27	11.75506
MAG_33	39.0387
58	22.778543
142_sub	15.939732
MAG_294	19.311207
MAG_74	27.01415
145	118.52144
MAG_114	33.539112
MAG_130	75.21972
67	22.553242
MAG_37	18669.457
MAG_148	12.313629
MAG_305	18.026976
MAG_313	112.44512
maxbin2.0025_sub	13098.531
107_sub	3.3586307
MAG_200	89.54414
MAG_319	290.27606
158_sub	12.98375
MAG_13	33.02799
MAG_45	208515
76	1.7701508
MAG_307	11460.333
MAG_236	144.61667
245_sub	9.47568
MAG_149_sub	3.5017514
119_sub	47.387802
MAG_334	120.11688
MAG_119	16.535355
275_sub	41.652576
MAG_140	20.063957
288_sub	15.394136
112_sub	34.081673
MAG_164	4.2001467
MAG_326	1.8690387
MAG_92	4.132065
MAG_144	13.53292
117_sub	665536.9
MAG_292	17.428013
MAG_217_sub	11.97499
52_sub	2.79745
MAG_306	182.42996
81_sub	108.36258
MAG_234	72.54487
MAG_332_sub	12.425186
163	3.6730218
MAG_24	5.341418
243_sub	1.5503566
MAG_269_sub	3.9323108
MAG_346	21.81747
MAG_214	10.42465
287_sub	42.51637
MAG_216	5.4970107
MAG_300_sub	10.434159
45_sub	142.1296
MAG_244	11.839147
MAG_273_sub	2.4822943
MAG_126	12.629657
MAG_280_sub	46.651924
MAG_226	43.824253
MAG_29	8734.245
123_sub	39.10786
170_sub	99.09592
MAG_63	31.928434
MAG_263	108.96851
259_sub	13.200206
MAG_202	44.8648
MAG_321	3.6380105
169_sub	22.319653
MAG_42_sub	3.7708082
223_sub	12.243651
MAG_133	7.00954
31_sub	13.7497425
26_sub	7.003393
73_sub	6.45565
MAG_80_sub	4.0818224
270_sub	17.839554
MAG_224	47.893337
103_sub	57.32399
184_sub	70.95918
MAG_247	2.5169954
MAG_12	27.458042
MAG_39	33.402813
53_sub	46.4915
244_sub	315.00815
174	17.718424
MAG_171	3415.7065
138_sub	207.78854
MAG_316	11.988919
190	16.490442
MAG_117	24.773956
MAG_108	28.685034
131_sub	11.075583
MAG_58	6.3721695
97_sub	12.9499655
MAG_134	71.69054
273_sub	373.78513
MAG_56_sub	10.751565
MAG_206	9.16974
MAG_153_sub	17.995302
MAG_116	28.921843
MAG_95	21.391033
MAG_235	13.658702
MAG_330	749.67706
MAG_341	17167.254
16_sub	24.653214
MAG_94	24.543753
MAG_210	78.718925
MAG_46	1602.1046
MAG_314	7.136593
MAG_142	10.832915
MAG_141	23.873575
MAG_277	13.227476
238_sub	50.58255
MAG_328	5.017783
289	24.196928
127_sub	56.80108
MAG_327_sub	8.102946
