Genome	1547B_7H_3_S12_paired_1.fastq.gz TPM
MAG_155	8.794835
MAG_193	154.76651
MAG_249	0.29917452
MAG_121	16.833914
280	0.22056548
MAG_199	0
MAG_51	5012.42
MAG_18	0.9663479
2	27.595152
maxbin2.0181_sub	2080.0168
MAG_284	5.4854317
MAG_278	25.963675
284_sub	7.7077665
MAG_162	3.4377406
44_sub	14.285585
102_sub	1.2932335
MAG_53	7.8489275
MAG_229	276.21707
MAG_289	212.22292
MAG_222_sub	153.7202
MAG_315	4.2521496
4_sub	293.9648
MAG_128	27.477661
MAG_172	147.5161
27	21.539263
MAG_33	116.98678
58	4.6080165
142_sub	4.0182867
MAG_294	104.318756
MAG_74	145.82724
145	304.60184
MAG_114	60.280712
MAG_130	2.8826084
67	20.605013
MAG_37	5697.749
MAG_148	99.77708
MAG_305	217.17589
MAG_313	2712.6375
maxbin2.0025_sub	2119.878
107_sub	2917.1445
MAG_200	25.255737
MAG_319	74.813866
158_sub	343.86588
MAG_13	31.33481
MAG_45	90225.91
76	26.888926
MAG_307	11036.361
MAG_236	36.853184
245_sub	29.538269
MAG_149_sub	25.611092
119_sub	6.3616285
MAG_334	78.90984
MAG_119	13.233142
275_sub	158.68741
MAG_140	16409.666
288_sub	0.718657
112_sub	613.4017
MAG_164	2.9411817
MAG_326	0.3272018
MAG_92	6.510391
MAG_144	70.77151
117_sub	612597.5
MAG_292	80.421776
MAG_217_sub	643.40125
52_sub	13.46767
MAG_306	148.69011
81_sub	3695.2834
MAG_234	6.783857
MAG_332_sub	241.59955
163	2.3577209
MAG_24	1.8701816
243_sub	2.895061
MAG_269_sub	263.95505
MAG_346	555.63074
MAG_214	24.438906
287_sub	1420.8345
MAG_216	8.660961
MAG_300_sub	3.1313941
45_sub	319.48767
MAG_244	75.42279
MAG_273_sub	1.0864019
MAG_126	44.524956
MAG_280_sub	7.704798
MAG_226	78.51409
MAG_29	22260.83
123_sub	32.71051
170_sub	9.55706
MAG_63	22.358107
MAG_263	63.6693
259_sub	54.39462
MAG_202	190.81429
MAG_321	3.821313
169_sub	1.875538
MAG_42_sub	7.1091294
223_sub	16.594263
MAG_133	24.542397
31_sub	49.74646
26_sub	38.1606
73_sub	1.5822152
MAG_80_sub	19.599941
270_sub	22.985786
MAG_224	290.9884
103_sub	22.632965
184_sub	11.994054
MAG_247	50.67313
MAG_12	478.6989
MAG_39	199.18521
53_sub	18.90752
244_sub	2189.976
174	11.5212
MAG_171	1107.7317
138_sub	111.24166
MAG_316	221.07693
190	4.173809
MAG_117	1.8811215
MAG_108	64.364426
131_sub	4.9119773
MAG_58	13.832682
97_sub	11.713219
MAG_134	1473.5701
273_sub	75030.76
MAG_56_sub	6.538216
MAG_206	90.16403
MAG_153_sub	78.75835
MAG_116	620.4958
MAG_95	11.983376
MAG_235	1.9926251
MAG_330	2255.9946
MAG_341	59849.453
16_sub	6.042256
MAG_94	148.2373
MAG_210	47.964596
MAG_46	68480.73
MAG_314	337.4744
MAG_142	10.211687
MAG_141	218.55237
MAG_277	2.401425
238_sub	186.77646
MAG_328	116.734245
289	20.141064
127_sub	7.999514
MAG_327_sub	871.9268
