Genome	1548B-8H5_S7_L004_paired_1.fastq.gz TPM
MAG_155	0.17035238
MAG_193	0.11427661
MAG_249	0.24918044
MAG_121	0.3338297
280	0.12247166
MAG_199	0.19007063
MAG_51	7.7692122
MAG_18	0
2	0
maxbin2.0181_sub	22.21778
MAG_284	0.20767175
MAG_278	0
284_sub	0.4279829
MAG_162	0.22025146
44_sub	24.142761
102_sub	0.23936108
MAG_53	7371.2734
MAG_229	1.5357089
MAG_289	0.20086241
MAG_222_sub	0.59274304
MAG_315	0
4_sub	257.14682
MAG_128	0.70263827
MAG_172	0.22167808
27	1.2569355
MAG_33	2.4554675
58	0.09840987
142_sub	1.9832898
MAG_294	1.0726713
MAG_74	0
145	2.9297514
MAG_114	0.21734795
MAG_130	4.729053
67	32.6793
MAG_37	152.40631
MAG_148	0
MAG_305	1.6450536
MAG_313	8.294699
maxbin2.0025_sub	32.481903
107_sub	0.16324034
MAG_200	3.929012
MAG_319	0
158_sub	0.11302433
MAG_13	0.8285247
MAG_45	618.0178
76	0.68828094
MAG_307	27.47339
MAG_236	2.063513
245_sub	7.1310754
MAG_149_sub	0.3782144
119_sub	1.0024298
MAG_334	17.333647
MAG_119	1.2246425
275_sub	1.3307574
MAG_140	14.804904
288_sub	0.46554986
112_sub	0.17552108
MAG_164	0.5443753
MAG_326	0.36336535
MAG_92	0.20083177
MAG_144	1.9032593
117_sub	7665.8765
MAG_292	1.0425322
MAG_217_sub	0.21164474
52_sub	0.6118428
MAG_306	0
81_sub	0.9729022
MAG_234	4.073419
MAG_332_sub	0.05617716
163	0.71408314
MAG_24	0.17307349
243_sub	0.30140945
MAG_269_sub	0
MAG_346	1.1162105
MAG_214	0.2643504
287_sub	0.20794284
MAG_216	0.26717228
MAG_300_sub	0.28979075
45_sub	146.98947
MAG_244	0.5613863
MAG_273_sub	0
MAG_126	11.0068245
MAG_280_sub	0.3422544
MAG_226	0.3319484
MAG_29	5820.301
123_sub	0.63358986
170_sub	0.3460874
MAG_63	1.4605423
MAG_263	3.8231757
259_sub	0.29611036
MAG_202	55794.31
MAG_321	0
169_sub	0.52070737
MAG_42_sub	0.16917554
223_sub	0.23035403
MAG_133	0.7214539
31_sub	0.17820847
26_sub	4.297393
73_sub	0.12550627
MAG_80_sub	0.22673124
270_sub	0.1387296
MAG_224	0
103_sub	7.4691987
184_sub	1.1892575
MAG_247	0.6116708
MAG_12	5.3381996
MAG_39	1.8264216
53_sub	1.390546
244_sub	28.674612
174	0.049209885
MAG_171	34.067146
138_sub	2.8580627
MAG_316	0
190	0.9270236
MAG_117	0.29014304
MAG_108	7.2557564
131_sub	0.2153238
MAG_58	1.2388324
97_sub	1.7308776
MAG_134	7.214742
273_sub	11.920218
MAG_56_sub	0.935109
MAG_206	0.594239
MAG_153_sub	0.5102008
MAG_116	0.3259582
MAG_95	0.5544926
MAG_235	0.110642865
MAG_330	921596.6
MAG_341	15.272764
16_sub	0.19171636
MAG_94	11.796522
MAG_210	69.166046
MAG_46	2.9956038
MAG_314	6.6923847
MAG_142	1.9440542
MAG_141	48.790558
MAG_277	1.8096402
238_sub	24.055265
MAG_328	2.4930012
289	4.9704704
127_sub	1.943298
MAG_327_sub	0.13127655
