Genome	1547B-1H2_S3_L004_paired_1.fastq.gz TPM
MAG_155	10786.489
MAG_193	13187.757
MAG_249	94.50885
MAG_121	935.5542
280	37.096844
MAG_199	3116.43
MAG_51	490.37842
MAG_18	13892.988
2	5482.208
maxbin2.0181_sub	10408.976
MAG_284	534.02673
MAG_278	7300.136
284_sub	3432.2603
MAG_162	1651.942
44_sub	12698.971
102_sub	7793.7393
MAG_53	82.2023
MAG_229	693.90454
MAG_289	21262.81
MAG_222_sub	322.31573
MAG_315	1845.5999
4_sub	16949.393
MAG_128	14958.022
MAG_172	9121.164
27	157.00806
MAG_33	1381.9905
58	3286.854
142_sub	17871.773
MAG_294	31272.836
MAG_74	24686.248
145	218.24992
MAG_114	9214.952
MAG_130	17333.334
67	939.6504
MAG_37	6.8640456
MAG_148	146.78328
MAG_305	31.018135
MAG_313	541.71136
maxbin2.0025_sub	9865.086
107_sub	603.32306
MAG_200	3451.0625
MAG_319	11613.108
158_sub	1196.085
MAG_13	7050.0674
MAG_45	57.31273
76	1652.4045
MAG_307	8.790768
MAG_236	216.2273
245_sub	1869.487
MAG_149_sub	352.73154
119_sub	56.76859
MAG_334	34053.96
MAG_119	52.699005
275_sub	44.938797
MAG_140	124.4546
288_sub	1880.259
112_sub	152.0418
MAG_164	684.5151
MAG_326	352.5294
MAG_92	582.73236
MAG_144	4985.656
117_sub	67.6446
MAG_292	29.519825
MAG_217_sub	706.3655
52_sub	1174.5804
MAG_306	1224.3472
81_sub	39.81668
MAG_234	7092.0996
MAG_332_sub	17481.414
163	82.474785
MAG_24	5391.761
243_sub	23.357737
MAG_269_sub	2174.058
MAG_346	15074.6
MAG_214	14531.365
287_sub	2451.4656
MAG_216	6076.9844
MAG_300_sub	1022.88904
45_sub	17961.416
MAG_244	14.431831
MAG_273_sub	148.06522
MAG_126	19.494766
MAG_280_sub	672.3206
MAG_226	6539.676
MAG_29	168.5233
123_sub	1422.4858
170_sub	247.31192
MAG_63	691.3522
MAG_263	2365.1584
259_sub	673.6299
MAG_202	850.6612
MAG_321	11721.265
169_sub	6548.3193
MAG_42_sub	8003.697
223_sub	780.8224
MAG_133	43472.56
31_sub	8316.645
26_sub	10437.464
73_sub	435.00986
MAG_80_sub	632.79346
270_sub	12658.211
MAG_224	20203.984
103_sub	20776.785
184_sub	82.94545
MAG_247	5516.163
MAG_12	11794.515
MAG_39	4755.153
53_sub	12799.925
244_sub	372.22598
174	7215.593
MAG_171	1571.5607
138_sub	442.74884
MAG_316	12065.449
190	779.1848
MAG_117	12110.72
MAG_108	1848.1158
131_sub	1171.4264
MAG_58	34382.61
97_sub	9479.935
MAG_134	64.14584
273_sub	94.76029
MAG_56_sub	2133.288
MAG_206	2259.5786
MAG_153_sub	1283.9004
MAG_116	4465.9473
MAG_95	30.988304
MAG_235	5004.3286
MAG_330	24996.172
MAG_341	13.342566
16_sub	1655.3485
MAG_94	129490.41
MAG_210	11085.719
MAG_46	161.69553
MAG_314	26528.967
MAG_142	8052.966
MAG_141	30691.182
MAG_277	21201.8
238_sub	3321.218
MAG_328	8489.532
289	6291.4995
127_sub	146.114
MAG_327_sub	667.7687
