Genome	1548B-4H7_S6_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	57.59628
MAG_155	0.00056234776
MAG_193	0.053442348
MAG_249	0.45726913
MAG_121	0.00026218282
280	0.00002728697
MAG_199	0.000046652684
MAG_51	1.4908456
MAG_18	0.000031189025
2	0.015449511
maxbin2.0181_sub	0.58233345
MAG_284	0.00038544973
MAG_278	0.0022246724
284_sub	0.00024932832
MAG_162	0.0012987662
44_sub	0.0014393432
102_sub	0.028223192
MAG_53	0.03600528
MAG_229	0.00072157686
MAG_289	0.00012292784
MAG_222_sub	0.00002964573
MAG_315	0.00047972976
4_sub	0.06848681
MAG_128	0.000044568173
MAG_172	0.000007996893
27	0.000010845296
MAG_33	0.5958608
58	0.000006967967
142_sub	0.00039865656
MAG_294	0.016312242
MAG_74	0.00052232837
145	0.009511284
MAG_114	0.00058389356
MAG_130	0.00014317769
67	0.17979033
MAG_37	0.00014078718
MAG_148	0.10412563
MAG_305	0.82427937
MAG_313	0.17993498
maxbin2.0025_sub	0.6714535
107_sub	0.38414946
MAG_200	0.0006240783
MAG_319	0.07917705
158_sub	0.71619123
MAG_13	0.000057240803
MAG_45	0.0019593588
76	0.0001326974
MAG_307	0.000015873842
MAG_236	0.147663
245_sub	0.023532527
MAG_149_sub	0.43799984
119_sub	0.05879766
MAG_334	0.0034199643
MAG_119	1.4861892
275_sub	1.447036
MAG_140	4.393472
288_sub	0.030492274
112_sub	0.052152757
MAG_164	0.0068052146
MAG_326	0.00017933342
MAG_92	0.00016743435
MAG_144	0.000028177714
117_sub	0.010164737
MAG_292	0.012859426
MAG_217_sub	0.58930254
52_sub	0.21703584
MAG_306	0.2470944
81_sub	0.046757333
MAG_234	0.00011787772
MAG_332_sub	0.00009138392
163	0.0002174613
MAG_24	0.0014229123
243_sub	0.000018669198
MAG_269_sub	0.00604022
MAG_346	0.09607211
MAG_214	0.0018134493
287_sub	0.49153247
MAG_216	0.0011989013
MAG_300_sub	0.00044689843
45_sub	0.28002408
MAG_244	2.4140153
MAG_273_sub	0.0018780708
MAG_126	5.719081
MAG_280_sub	0.0005037381
MAG_226	0.00012652825
MAG_29	0.07553439
123_sub	0.007854632
170_sub	0.00036480694
MAG_63	0.0073876614
MAG_263	0.004543198
259_sub	0.0014516325
MAG_202	0.5090891
MAG_321	0.0012503852
169_sub	0.000030613384
MAG_42_sub	0.00033351016
223_sub	0.00067199324
MAG_133	0.0027841178
31_sub	0.00028781197
26_sub	0.006393776
73_sub	0.0004891441
MAG_80_sub	0.0029590996
270_sub	0.0013382575
MAG_224	0.0097248275
103_sub	0.008629506
184_sub	0.00025956222
MAG_247	0.0001012433
MAG_12	0.00019233821
MAG_39	0.00009577226
53_sub	0.000026893678
244_sub	0.116030775
174	0.00044232348
MAG_171	0.00010387614
138_sub	0.002236081
MAG_316	0.000034823417
190	0.0016513846
MAG_117	0.00007454861
MAG_108	0.000019236695
131_sub	0.000022331455
MAG_58	0.000053924476
97_sub	0.000064369975
MAG_134	3.5451128
273_sub	0.20929727
MAG_56_sub	0.00039698434
MAG_206	0.0031514582
MAG_153_sub	0.008946698
MAG_116	0.15790284
MAG_95	0.0001674061
MAG_235	0.00063650834
MAG_330	12.506069
MAG_341	0.00015631565
16_sub	0.000069101596
MAG_94	0.0010017867
MAG_210	0.006842509
MAG_46	0.0917449
MAG_314	0.00007283633
MAG_142	0.0008741352
MAG_141	0.000055869015
MAG_277	0.00017100284
238_sub	0.00024275066
MAG_328	0.029542409
289	0.0015645882
127_sub	0.00041057373
MAG_327_sub	0.34563637
