Genome	1547B_5H_3_S11_paired_1.fastq.gz Relative Abundance (%)
unmapped	89.80366
MAG_155	0.0011185065
MAG_193	0.0044535324
MAG_249	0.0023255225
MAG_121	0.0013865419
280	0.00005797367
MAG_199	0.001367045
MAG_51	0.07639617
MAG_18	0
2	0.028572286
maxbin2.0181_sub	0.5105937
MAG_284	0.00029545286
MAG_278	0.002980591
284_sub	0.0037569304
MAG_162	0.00075017824
44_sub	0.021571457
102_sub	0.00019387489
MAG_53	0.005676754
MAG_229	0.0010416629
MAG_289	0.00016878177
MAG_222_sub	0.00008059677
MAG_315	0.011787666
4_sub	0.01740331
MAG_128	0.000070912574
MAG_172	0.00005622962
27	0.00004702061
MAG_33	0.29231226
58	0.000069690686
142_sub	0.000611143
MAG_294	0.0140815275
MAG_74	0.0008222527
145	0.07678492
MAG_114	0.00005114706
MAG_130	0.00013899397
67	0.23066899
MAG_37	0.60796714
MAG_148	0.5246853
MAG_305	0.0019467855
MAG_313	0.04314144
maxbin2.0025_sub	0.4265394
107_sub	0.15140751
MAG_200	0.00093451486
MAG_319	0.24931516
158_sub	0.048814695
MAG_13	0.000024724772
MAG_45	0.04127321
76	0.015584544
MAG_307	1.0827556
MAG_236	0.09409094
245_sub	0.00014847162
MAG_149_sub	0.0024823984
119_sub	0.011363968
MAG_334	0.005044164
MAG_119	0.00012137009
275_sub	0.009850222
MAG_140	0.010883811
288_sub	0.00040832863
112_sub	0.08459317
MAG_164	0.0064513986
MAG_326	0.20986788
MAG_92	0.00013891098
MAG_144	0.00006893028
117_sub	0.41363004
MAG_292	0.012865112
MAG_217_sub	0.11533769
52_sub	0.040666506
MAG_306	0.9019176
81_sub	0.07288307
MAG_234	0.00010695462
MAG_332_sub	0.00025608653
163	0.0002446729
MAG_24	0.001733999
243_sub	0.000020210859
MAG_269_sub	0.003976289
MAG_346	0.3916167
MAG_214	0.00034751074
287_sub	0.99266875
MAG_216	0.0022136455
MAG_300_sub	0.000572254
45_sub	0.4619624
MAG_244	0.0003945405
MAG_273_sub	0.0037755622
MAG_126	0.0034037714
MAG_280_sub	0.0005264831
MAG_226	0.00049913273
MAG_29	0.2531181
123_sub	0.0042146873
170_sub	0.00038808564
MAG_63	0.014034621
MAG_263	0.0015696307
259_sub	0.0008752071
MAG_202	0.00042966416
MAG_321	0.0059989775
169_sub	0.00003252291
MAG_42_sub	0.00074149494
223_sub	0.00017333381
MAG_133	0.0031264396
31_sub	0.000056685152
26_sub	0.00010618808
73_sub	0.0006497258
MAG_80_sub	0.00443494
270_sub	0.0027126854
MAG_224	0.050949454
103_sub	0.0061539495
184_sub	0.00032685755
MAG_247	0.00013606121
MAG_12	0.00032600318
MAG_39	0.000026240028
53_sub	0.00010984173
244_sub	0.07501862
174	0.00031646324
MAG_171	0.013806093
138_sub	0.0010056599
MAG_316	0.00024946878
190	0.0020684155
MAG_117	0.00010332796
MAG_108	0.00008037005
131_sub	0.0000555317
MAG_58	0.00039935802
97_sub	0.000046108835
MAG_134	0.0018196491
273_sub	0.011960996
MAG_56_sub	0.00020135602
MAG_206	0.0013145616
MAG_153_sub	0.007706013
MAG_116	0.06299423
MAG_95	0.00036607566
MAG_235	0.00047396333
MAG_330	0.0043487
MAG_341	0.19722861
16_sub	0.00013601198
MAG_94	0.0029153312
MAG_210	0.041912667
MAG_46	0.013609744
MAG_314	0.00022993128
MAG_142	0.00052208186
MAG_141	0.00043041952
MAG_277	0.00028823683
238_sub	0.00020635316
MAG_328	0.18544275
289	0.007217173
127_sub	0.0014066284
MAG_327_sub	0.85055363
