Genome	U1545B_4H2_S18_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	85.06152
MAG_155	0.00089092663
MAG_193	0.00812202
MAG_249	0.00024271311
MAG_121	0.057912573
280	0.00007419491
MAG_199	0.00012766202
MAG_51	0.001279613
MAG_18	0.00004469435
2	0.22851332
maxbin2.0181_sub	0.058405053
MAG_284	0.17299499
MAG_278	0.031554587
284_sub	0.14380234
MAG_162	0.002694926
44_sub	0.3765787
102_sub	0.0023780135
MAG_53	0.00046747626
MAG_229	0.008695387
MAG_289	0.0060772053
MAG_222_sub	0.0003102648
MAG_315	0.113690265
4_sub	0.00026353574
MAG_128	0.0003826593
MAG_172	0.0012169568
27	0.08623582
MAG_33	0.8690459
58	0.105817944
142_sub	0.05811332
MAG_294	0.023775926
MAG_74	0.018952373
145	0.0050060484
MAG_114	0.0016232467
MAG_130	0.000420881
67	0.02164977
MAG_37	0.000015468819
MAG_148	0.017760044
MAG_305	0.00018270955
MAG_313	0.0034857737
maxbin2.0025_sub	0.09597616
107_sub	0.006622758
MAG_200	0.10935941
MAG_319	0.32533884
158_sub	0.05383709
MAG_13	0.013419933
MAG_45	0.0005216024
76	0.14733794
MAG_307	0.000011520118
MAG_236	0.0088945385
245_sub	0.056298494
MAG_149_sub	0.00011886619
119_sub	0.00048587477
MAG_334	0.006064246
MAG_119	0.00009248484
275_sub	0.0005900198
MAG_140	0.00014004305
288_sub	0.015223228
112_sub	0.010258625
MAG_164	0.02289297
MAG_326	2.2472913
MAG_92	0.00051174534
MAG_144	0.008261158
117_sub	0.0009013377
MAG_292	0.0011130855
MAG_217_sub	0.03107034
52_sub	0.00034833766
MAG_306	0.87553835
81_sub	0.0011871076
MAG_234	0.0010594361
MAG_332_sub	0.0018753634
163	0.15554541
MAG_24	0.01498558
243_sub	0.000015057255
MAG_269_sub	0.005476747
MAG_346	0.74469733
MAG_214	0.0472132
287_sub	0.5269094
MAG_216	0.050453585
MAG_300_sub	0.013323263
45_sub	0.6005625
MAG_244	0.000038848153
MAG_273_sub	0.0003081313
MAG_126	0.00042491138
MAG_280_sub	0.22351272
MAG_226	0.03829779
MAG_29	0.001459751
123_sub	0.008202104
170_sub	0.15253365
MAG_63	0.05975551
MAG_263	0.7668298
259_sub	0.002525637
MAG_202	0.000149232
MAG_321	0.013830125
169_sub	0.00020025518
MAG_42_sub	0.0013929904
223_sub	0.0015411287
MAG_133	0.0037028699
31_sub	0.19857176
26_sub	0.1631092
73_sub	0.1871514
MAG_80_sub	0.0076984917
270_sub	0.008536028
MAG_224	0.17395622
103_sub	0.0078496905
184_sub	0.08217401
MAG_247	0.00092695793
MAG_12	0.053135067
MAG_39	0.007728729
53_sub	0.0013745284
244_sub	0.0039416347
174	0.00033235172
MAG_171	0.00050645485
138_sub	0.0045294184
MAG_316	0.005772841
190	0.018429346
MAG_117	0.0044833138
MAG_108	0.21003215
131_sub	0.057553906
MAG_58	0.0006185893
97_sub	0.00029449872
MAG_134	0.0007499112
273_sub	0.0004463939
MAG_56_sub	0.0067730797
MAG_206	0.11774518
MAG_153_sub	0.0016309578
MAG_116	0.090766996
MAG_95	0.12364495
MAG_235	0.1283049
MAG_330	0.0014917151
MAG_341	0.000026020563
16_sub	0.00025387763
MAG_94	0.054567344
MAG_210	0.49551004
MAG_46	0.00015683782
MAG_314	0.001140635
MAG_142	0.027691554
MAG_141	0.38854024
MAG_277	0.0073758634
238_sub	0.00046136556
MAG_328	0.80854267
289	0.04810991
127_sub	1.4833525
MAG_327_sub	0.047146633
