Genome	1547B-1H2_S3_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	93.64534
MAG_155	0.070560455
MAG_193	0.08612628
MAG_249	0.00035129237
MAG_121	0.0056672636
280	0.00010197231
MAG_199	0.020648453
MAG_51	0.0027366497
MAG_18	0.091389224
2	0.03478929
maxbin2.0181_sub	0.06554315
MAG_284	0.0032720056
MAG_278	0.043236554
284_sub	0.01652024
MAG_162	0.009005587
44_sub	0.07052676
102_sub	0.049431868
MAG_53	0.00044744223
MAG_229	0.0036811111
MAG_289	0.1346758
MAG_222_sub	0.0016970255
MAG_315	0.011784011
4_sub	0.11059563
MAG_128	0.099416845
MAG_172	0.06119232
27	0.0009702081
MAG_33	0.007579525
58	0.021639552
142_sub	0.10572603
MAG_294	0.20291092
MAG_74	0.15199757
145	0.0009004023
MAG_114	0.058893904
MAG_130	0.11243537
67	0.0057071224
MAG_37	0.000011153409
MAG_148	0.00053680013
MAG_305	0.000121595745
MAG_313	0.002650827
maxbin2.0025_sub	0.05986302
107_sub	0.0028718186
MAG_200	0.021640155
MAG_319	0.057189986
158_sub	0.004780996
MAG_13	0.04542918
MAG_45	0.0002279136
76	0.010835866
MAG_307	0.000010072976
MAG_236	0.0008206809
245_sub	0.00989173
MAG_149_sub	0.0016954999
119_sub	0.00016319589
MAG_334	0.22401573
MAG_119	0.00012624811
275_sub	0.00016870876
MAG_140	0.00064998254
288_sub	0.0098127285
112_sub	0.00068959617
MAG_164	0.0039733043
MAG_326	0.0020745571
MAG_92	0.0037120157
MAG_144	0.033346996
117_sub	0.00028043674
MAG_292	0.0001326592
MAG_217_sub	0.0033918975
52_sub	0.007378889
MAG_306	0.0075239716
81_sub	0.00009438115
MAG_234	0.044962224
MAG_332_sub	0.10931205
163	0.0004103971
MAG_24	0.033667877
243_sub	0.00009153114
MAG_269_sub	0.013004603
MAG_346	0.093444906
MAG_214	0.092307605
287_sub	0.014762717
MAG_216	0.039550785
MAG_300_sub	0.005643764
45_sub	0.11610725
MAG_244	0.000042484844
MAG_273_sub	0.00066236453
MAG_126	0.00006343036
MAG_280_sub	0.0032612174
MAG_226	0.042731423
MAG_29	0.0010492732
123_sub	0.0073822537
170_sub	0.0014036926
MAG_63	0.0032711022
MAG_263	0.014586378
259_sub	0.0037842942
MAG_202	0.005657984
MAG_321	0.076979496
169_sub	0.043790355
MAG_42_sub	0.05156358
223_sub	0.003806324
MAG_133	0.28820443
31_sub	0.05279486
26_sub	0.07048485
73_sub	0.0024470682
MAG_80_sub	0.00300608
270_sub	0.08095712
MAG_224	0.12909661
103_sub	0.13747597
184_sub	0.00024445757
MAG_247	0.035832103
MAG_12	0.07790441
MAG_39	0.030315697
53_sub	0.080514066
244_sub	0.0018754242
174	0.047152136
MAG_171	0.010195307
138_sub	0.0023427107
MAG_316	0.07880054
190	0.0043297214
MAG_117	0.07846979
MAG_108	0.012291822
131_sub	0.007026937
MAG_58	0.2272645
97_sub	0.06411757
MAG_134	0.00011601266
273_sub	0.0003288301
MAG_56_sub	0.00991507
MAG_206	0.012906368
MAG_153_sub	0.0075019547
MAG_116	0.01805817
MAG_95	0.00009193821
MAG_235	0.03148592
MAG_330	0.16689727
MAG_341	0.000019774852
16_sub	0.008213737
MAG_94	0.8296904
MAG_210	0.070149675
MAG_46	0.0007240792
MAG_314	0.1751932
MAG_142	0.04039915
MAG_141	0.20246948
MAG_277	0.13475895
238_sub	0.022512801
MAG_328	0.05394846
289	0.041133597
127_sub	0.00047432218
MAG_327_sub	0.0029524025
