Genome	1546B-3H2_S2_L004_paired_1.fastq.gz Relative Abundance (%)
unmapped	86.71206
MAG_155	0.004319853
MAG_193	0.0076032635
MAG_249	0.00029814773
MAG_121	0.039101828
280	0.05572659
MAG_199	0.00018519245
MAG_51	0.005228614
MAG_18	0.000054372602
2	0.107501514
maxbin2.0181_sub	0.0767325
MAG_284	0.0841841
MAG_278	0.056877706
284_sub	0.19698171
MAG_162	0.0047321483
44_sub	0.20681605
102_sub	0.0018261581
MAG_53	0.0012552969
MAG_229	0.014103319
MAG_289	0.005713244
MAG_222_sub	0.021098
MAG_315	0.095974654
4_sub	0.0036630023
MAG_128	0.030069964
MAG_172	0.011869114
27	0.12458314
MAG_33	0.45957708
58	0.04129726
142_sub	0.071295984
MAG_294	0.031854104
MAG_74	0.038009923
145	0.0043361774
MAG_114	0.003214768
MAG_130	0.00067544304
67	0.0091304565
MAG_37	0.000020552616
MAG_148	0.0030909583
MAG_305	0.00045300426
MAG_313	0.52614796
maxbin2.0025_sub	0.087675065
107_sub	0.0075744824
MAG_200	0.06024533
MAG_319	1.521005
158_sub	0.038960762
MAG_13	0.026606955
MAG_45	0.0007979251
76	0.027505696
MAG_307	0.000018143688
MAG_236	0.347752
245_sub	0.104143694
MAG_149_sub	0.00063004444
119_sub	0.00043726215
MAG_334	0.01241309
MAG_119	0.00015491116
275_sub	0.0010921422
MAG_140	0.0018048981
288_sub	0.008241399
112_sub	0.009717774
MAG_164	0.098645754
MAG_326	0.3389002
MAG_92	0.00062937656
MAG_144	0.011358489
117_sub	0.000767481
MAG_292	0.002719024
MAG_217_sub	0.027385058
52_sub	0.00046312113
MAG_306	0.26799655
81_sub	0.0003789741
MAG_234	0.0026294908
MAG_332_sub	0.00348014
163	0.0012132333
MAG_24	0.02740368
243_sub	0.072281145
MAG_269_sub	0.0068638776
MAG_346	0.5607331
MAG_214	0.5234306
287_sub	0.531586
MAG_216	0.02752112
MAG_300_sub	0.032241873
45_sub	0.7697609
MAG_244	0.000037556125
MAG_273_sub	0.00049794925
MAG_126	0.00081856176
MAG_280_sub	0.006991987
MAG_226	0.049268488
MAG_29	0.0056358855
123_sub	0.009237867
170_sub	0.05986945
MAG_63	0.1143031
MAG_263	0.15389276
259_sub	0.055898007
MAG_202	0.049662255
MAG_321	0.05254331
169_sub	0.005772884
MAG_42_sub	0.0017691901
223_sub	0.0017891859
MAG_133	0.00909311
31_sub	0.14614141
26_sub	0.12508288
73_sub	0.034182284
MAG_80_sub	0.00982437
270_sub	0.014165286
MAG_224	0.24498594
103_sub	0.036836784
184_sub	0.014114394
MAG_247	0.021077588
MAG_12	0.17395204
MAG_39	0.028883394
53_sub	0.0029799035
244_sub	0.005895856
174	0.0038491315
MAG_171	0.046697963
138_sub	0.0080207065
MAG_316	0.0188955
190	0.014311725
MAG_117	0.0052486574
MAG_108	0.2514691
131_sub	0.064107634
MAG_58	0.29434872
97_sub	0.0013937977
MAG_134	0.00062539557
273_sub	0.0018786448
MAG_56_sub	0.006535961
MAG_206	0.1814063
MAG_153_sub	0.0046359943
MAG_116	0.07888941
MAG_95	0.0035528662
MAG_235	0.09810237
MAG_330	0.7858887
MAG_341	0.000023308545
16_sub	0.0005320527
MAG_94	0.16440555
MAG_210	0.27561754
MAG_46	0.0014409309
MAG_314	0.0035355263
MAG_142	0.020153975
MAG_141	0.96068716
MAG_277	0.115644164
238_sub	0.0034962944
MAG_328	0.41857198
289	0.031806845
127_sub	0.05443446
MAG_327_sub	0.02175655
