Genome	1547B_2H_3_S9_paired_1.fastq.gz Relative Abundance (%)
unmapped	89.25077
MAG_155	0.028311487
MAG_193	0.19664794
MAG_249	0.0013252271
MAG_121	0.008575244
280	0.07527669
MAG_199	0.11782259
MAG_51	0.009805042
MAG_18	0.012727843
2	0.017459793
maxbin2.0181_sub	0.087679885
MAG_284	0.013313792
MAG_278	0.03249022
284_sub	0.049079485
MAG_162	0.08487912
44_sub	0.09474167
102_sub	0.1694374
MAG_53	0.0020214934
MAG_229	0.01056043
MAG_289	0.0544281
MAG_222_sub	0.09738618
MAG_315	0.10749255
4_sub	0.41700023
MAG_128	0.054546144
MAG_172	0.027409868
27	0.004357068
MAG_33	0.355713
58	0.050268974
142_sub	0.34443077
MAG_294	0.09631798
MAG_74	0.11542779
145	0.0025559734
MAG_114	0.020478081
MAG_130	0.05207712
67	0.010156247
MAG_37	0.000062715764
MAG_148	0.0024654327
MAG_305	0.0011465292
MAG_313	0.09983395
maxbin2.0025_sub	0.09247488
107_sub	0.013178281
MAG_200	0.03740345
MAG_319	0.1097244
158_sub	0.022019478
MAG_13	0.010473774
MAG_45	0.00053751713
76	0.030433131
MAG_307	0.000014283537
MAG_236	0.18657629
245_sub	0.08311685
MAG_149_sub	0.051673763
119_sub	0.020327762
MAG_334	0.119833924
MAG_119	0.00024100706
275_sub	0.0010127393
MAG_140	0.006532341
288_sub	0.050048854
112_sub	0.0045160786
MAG_164	0.18912636
MAG_326	0.10489603
MAG_92	0.03877478
MAG_144	0.024718482
117_sub	0.0011250052
MAG_292	0.0024114246
MAG_217_sub	0.015919164
52_sub	0.047052946
MAG_306	0.1275116
81_sub	0.00014813562
MAG_234	0.26841232
MAG_332_sub	0.0061617573
163	0.008382686
MAG_24	0.062367734
243_sub	0.008790931
MAG_269_sub	0.12335726
MAG_346	0.28906876
MAG_214	0.21288146
287_sub	0.19311307
MAG_216	0.016480826
MAG_300_sub	0.070376374
45_sub	0.5899027
MAG_244	0.00019367303
MAG_273_sub	0.00070218975
MAG_126	0.00095335883
MAG_280_sub	0.003986997
MAG_226	0.053781115
MAG_29	0.012070956
123_sub	0.04207004
170_sub	0.012619112
MAG_63	0.055476267
MAG_263	0.08756772
259_sub	0.05602906
MAG_202	0.00009642137
MAG_321	0.053898703
169_sub	0.02863622
MAG_42_sub	0.01992619
223_sub	0.08521162
MAG_133	0.057713624
31_sub	0.014806739
26_sub	0.08628384
73_sub	0.007841696
MAG_80_sub	0.015773494
270_sub	0.012861691
MAG_224	0.4495771
103_sub	0.03401102
184_sub	0.0025253738
MAG_247	0.03658202
MAG_12	0.066542625
MAG_39	0.007790105
53_sub	0.06282203
244_sub	0.008758187
174	0.052251335
MAG_171	0.09627607
138_sub	0.007258429
MAG_316	0.089832716
190	0.013245423
MAG_117	0.025191823
MAG_108	0.035552308
131_sub	0.05463133
MAG_58	0.3827692
97_sub	0.04680436
MAG_134	0.0007117275
273_sub	0.0026016394
MAG_56_sub	0.09976212
MAG_206	0.011248424
MAG_153_sub	0.0018215338
MAG_116	0.07667191
MAG_95	0.0009009616
MAG_235	0.01874717
MAG_330	0.00016323561
MAG_341	0.0094386125
16_sub	0.082775064
MAG_94	0.27740029
MAG_210	0.17222553
MAG_46	0.00450764
MAG_314	0.16354989
MAG_142	0.343583
MAG_141	0.755993
MAG_277	0.1305024
238_sub	0.011797354
MAG_328	0.1812072
289	0.011221001
127_sub	0.031706873
MAG_327_sub	0.012947257
