Genome	1545B_1H_2_S1_paired_1.fastq.gz Relative Abundance (%)
unmapped	93.87772
MAG_155	0.050195437
MAG_193	0.029551027
MAG_249	0.00033919502
MAG_121	0.006260228
280	0.0001025944
MAG_199	0.008771959
MAG_51	0.0016821108
MAG_18	0.010753455
2	0.05563165
maxbin2.0181_sub	0.06288632
MAG_284	0.0031096803
MAG_278	0.039086014
284_sub	0.025010923
MAG_162	0.009554163
44_sub	0.07368162
102_sub	0.0631456
MAG_53	0.00030528678
MAG_229	0.004366188
MAG_289	0.1583974
MAG_222_sub	0.0019311308
MAG_315	0.015554626
4_sub	0.04614623
MAG_128	0.0520727
MAG_172	0.07999168
27	0.0022801156
MAG_33	0.016009526
58	0.015415004
142_sub	0.09589084
MAG_294	0.15089232
MAG_74	0.14059891
145	0.0012395029
MAG_114	0.052850366
MAG_130	0.066910766
67	0.0077639003
MAG_37	0.000025233898
MAG_148	0.0012010628
MAG_305	0.00006826431
MAG_313	0.001287123
maxbin2.0025_sub	0.055070776
107_sub	0.0029282249
MAG_200	0.0438943
MAG_319	0.08503143
158_sub	0.005952746
MAG_13	0.03907518
MAG_45	0.00029458123
76	0.0051088044
MAG_307	0.000016119402
MAG_236	0.0011567597
245_sub	0.02320902
MAG_149_sub	0.0013066102
119_sub	0.00022390304
MAG_334	0.17685215
MAG_119	0.00012073973
275_sub	0.00020485508
MAG_140	0.0006400334
288_sub	0.012513394
112_sub	0.0009520498
MAG_164	0.004822793
MAG_326	0.0040889936
MAG_92	0.0068333405
MAG_144	0.04967635
117_sub	0.0003915925
MAG_292	0.00020656943
MAG_217_sub	0.0037416716
52_sub	0.0025320712
MAG_306	0.008830235
81_sub	0.000138466
MAG_234	0.039151836
MAG_332_sub	0.07974184
163	0.0016388248
MAG_24	0.038991988
243_sub	0.00058581814
MAG_269_sub	0.014485812
MAG_346	0.1261414
MAG_214	0.17376864
287_sub	0.019530796
MAG_216	0.07594945
MAG_300_sub	0.006259226
45_sub	0.14286672
MAG_244	0.000058368183
MAG_273_sub	0.00078190496
MAG_126	0.000060021477
MAG_280_sub	0.0036723965
MAG_226	0.037008204
MAG_29	0.002788886
123_sub	0.0072738966
170_sub	0.0018532316
MAG_63	0.003632818
MAG_263	0.011609851
259_sub	0.014672501
MAG_202	0.00003355818
MAG_321	0.035281368
169_sub	0.021263015
MAG_42_sub	0.054805007
223_sub	0.0038805122
MAG_133	0.22914618
31_sub	0.097809136
26_sub	0.06369599
73_sub	0.002689481
MAG_80_sub	0.0039559654
270_sub	0.07371909
MAG_224	0.12559465
103_sub	0.10808894
184_sub	0.0002235296
MAG_247	0.036494
MAG_12	0.11834967
MAG_39	0.03172445
53_sub	0.078495726
244_sub	0.0016936046
174	0.06657923
MAG_171	0.0135654295
138_sub	0.002880916
MAG_316	0.123769075
190	0.0047373353
MAG_117	0.041218445
MAG_108	0.021165144
131_sub	0.0072435807
MAG_58	0.17196001
97_sub	0.042169876
MAG_134	0.00018209663
273_sub	0.00016318848
MAG_56_sub	0.010960092
MAG_206	0.025480393
MAG_153_sub	0.011741545
MAG_116	0.021663481
MAG_95	0.00016708481
MAG_235	0.10228735
MAG_330	0.00009959632
MAG_341	0.00232233
16_sub	0.0050460133
MAG_94	0.9207985
MAG_210	0.0819066
MAG_46	0.00031077344
MAG_314	0.06319611
MAG_142	0.046050992
MAG_141	0.24446362
MAG_277	0.13241525
238_sub	0.035035927
MAG_328	0.09275019
289	0.049363703
127_sub	0.0007265002
MAG_327_sub	0.0036126876
