Genome	1547B_1H_3_S8_paired_1.fastq.gz Relative Abundance (%)
unmapped	92.53129
MAG_155	0.06450589
MAG_193	0.12286152
MAG_249	0.00030712437
MAG_121	0.0067654294
280	0.00015431608
MAG_199	0.012708408
MAG_51	0.0040434087
MAG_18	0.103863694
2	0.015336765
maxbin2.0181_sub	0.069702044
MAG_284	0.0026229017
MAG_278	0.035922185
284_sub	0.02266442
MAG_162	0.017769072
44_sub	0.058602028
102_sub	0.124442816
MAG_53	0.0007001836
MAG_229	0.006256868
MAG_289	0.088481285
MAG_222_sub	0.023775227
MAG_315	0.060966786
4_sub	0.15932184
MAG_128	0.065381065
MAG_172	0.09496696
27	0.0008471487
MAG_33	0.03206621
58	0.038432013
142_sub	0.12299501
MAG_294	0.17567597
MAG_74	0.114220805
145	0.0012554092
MAG_114	0.06488546
MAG_130	0.102686554
67	0.005930209
MAG_37	0.000011966655
MAG_148	0.0010037181
MAG_305	0.00024575554
MAG_313	0.0065540206
maxbin2.0025_sub	0.057000477
107_sub	0.0045861877
MAG_200	0.027705545
MAG_319	0.08474667
158_sub	0.0068246555
MAG_13	0.02962857
MAG_45	0.0002739251
76	0.0052344617
MAG_307	0.000008026144
MAG_236	0.0023417908
245_sub	0.033050925
MAG_149_sub	0.002712728
119_sub	0.0002595213
MAG_334	0.2799567
MAG_119	0.00013552431
275_sub	0.00028741377
MAG_140	0.0012489659
288_sub	0.017640855
112_sub	0.0012632937
MAG_164	0.008579839
MAG_326	0.00803256
MAG_92	0.016154299
MAG_144	0.063944004
117_sub	0.00051277305
MAG_292	0.00037133865
MAG_217_sub	0.0054303794
52_sub	0.01376435
MAG_306	0.016801467
81_sub	0.0001111326
MAG_234	0.22920376
MAG_332_sub	0.044875264
163	0.001037141
MAG_24	0.031407796
243_sub	0.000060341543
MAG_269_sub	0.053843796
MAG_346	0.16468634
MAG_214	0.20051357
287_sub	0.032172706
MAG_216	0.059127834
MAG_300_sub	0.0181712
45_sub	0.19618398
MAG_244	0.00008666838
MAG_273_sub	0.00075189193
MAG_126	0.00014135003
MAG_280_sub	0.0042583286
MAG_226	0.06706602
MAG_29	0.0036986938
123_sub	0.025468947
170_sub	0.0015559876
MAG_63	0.004376682
MAG_263	0.056182157
259_sub	0.014431326
MAG_202	0.000038650884
MAG_321	0.05796085
169_sub	0.022384895
MAG_42_sub	0.043733995
223_sub	0.010556094
MAG_133	0.1618754
31_sub	0.039861824
26_sub	0.07112257
73_sub	0.005516872
MAG_80_sub	0.0050046165
270_sub	0.027538128
MAG_224	0.19298221
103_sub	0.12592891
184_sub	0.0004043116
MAG_247	0.07837586
MAG_12	0.1646431
MAG_39	0.03767506
53_sub	0.16338834
244_sub	0.003412879
174	0.13544856
MAG_171	0.025222162
138_sub	0.0041587767
MAG_316	0.114749275
190	0.003440364
MAG_117	0.06950219
MAG_108	0.027272994
131_sub	0.011582187
MAG_58	0.37867114
97_sub	0.05133492
MAG_134	0.00036480193
273_sub	0.00078303623
MAG_56_sub	0.010881265
MAG_206	0.029499337
MAG_153_sub	0.0051826304
MAG_116	0.026209224
MAG_95	0.00016830895
MAG_235	0.027851734
MAG_330	0.00008860493
MAG_341	0.0026276787
16_sub	0.008482658
MAG_94	0.506707
MAG_210	0.08742353
MAG_46	0.0011230704
MAG_314	0.2727493
MAG_142	0.04469807
MAG_141	0.39775184
MAG_277	0.14494175
238_sub	0.04991757
MAG_328	0.05700835
289	0.028550938
127_sub	0.00062950293
MAG_327_sub	0.0044474686
